State	Info
MA	Massachusetts passed a law in 2016 that repealed a law requiring license suspensions for non-driving related drug crimes. In 2014 Massachusetts issued 5,431 suspensions for drug crimes. When the length of suspensions has elapsed, drivers have to pay hundreds of dollars in reinstatement fees to get their license back. 
MD	Maryland lawmakers recently agreed to an expensive criminal justice reform bill, which eliminates the possibility of going to jail just for driving with a suspended license. 
ME	Maine issues warrants for failure to pay fines, and court-ordered fees. An ACLU report found that almost 10 percent of inmates booked at the Cumberland County jail were booked just for failure to pay. Inmates are credited $25-$100 per day towards their debt, but it costs much more than that to jail them.
MI	In 2015 a young Michigan man died of a drug withdrawal while serving a sentence for a traffic ticket.
MN	On town in Minnesota allowing residents to pay parking tickets by donating canned goods to a local food pantry.
MO	In Missouri failure to appear in municipal court for a moving violation results in a license suspension. In Ferguson you can only get your license reinstated if you pay your fines and fees owed in full. In St. Louis County there used to be five reasons you could get your license suspended, now there are 26. While you technically cannot be jailed for failure to pay, a warrant can be issued if you don't show in court to say that you can't pay. 
MS	In Mississippi some are saying that certain town and counties have resurrected the debtor's prison, jailing people for inability to pay fines and fees. Debtor's prison was abolished in the U.S. almost 200 years ago, and in 1983 the U.S. Supreme Court found that incarcerating people for an inability to pay fines and fees was a violation of the 14th amendment. Despite this, many municipalities are raising fines and fees to try to generate revenue, and jailing people when they don't pay.
MT	
NC	In North Carolina an analysis by The New York Times found wide racial differences when it came to police conduct and enforcement. The analysis found that the majority of black drivers in Greensboro, NC who were pulled over were stopped for regulatory or equipment violations, violations for which police officers have the discretion to ignore. 
ND	
NE	In February 2016 police in on Nebraska town decided to crack down on unlicensed drivers, issuing 17 citations for driving with a suspended license in a 24-hour period. They also revealed a new policy allowing them to tow more vehicles when someone is caught driving on a suspended license, which costs the owner $95 in addition to $7 for every day the car sits in the impound lot.
NH	
NJ	In February 2015 a lawsuit was filed challenging New Jersey's policy of automatically suspending a driver's license for failure to pay child support. The lawsuit alleges that the child support administrators lied to lawmakers about how effective license suspension for collecting unpaid child support. From 2010 to 2014 New Jersey issued approximately 20,000 license suspensions per year for failure to pay child support. 
NM	
NV	
NY	In New York a suspension can be issued for insurance lapses. A local news anchor was arrested in February 2016 for driving with a suspended license. Her spokesperson said that her license had been suspended for a previous insurance lapse, even though her insurance was currently valid. According to a database of all IDs issued in New York, the suspension rate is approximately xx.
OH	Ohio is considering changes to its license suspension laws. The state senate passed a bill in April 2016 that would allow, rather than require, judges to suspend driver's licenses for conviction of a drug crime.
OK	Oklahoma's legislature recently unanimously passed a reform bill that would make it easier for formerly incarcerated people to get their driver's licenses back. 
OR	
PA	Pennsylvania passed a law requiring valid photo ID in order for vote, and advocates are concerned that people with suspended licenses might think they cannot vote. They can vote, but first they must get a valid photo ID to replace their suspended license. These ID's are sometimes issued for free, but sometimes cost up to $13.50.
RI	
SC	South Carolina had a week in March, 2016 when it allowed drivers to reduce or clear their license suspensions.
SD	
TN	
TX	In Texas traffic courts are huge revenue generators, collecting more than $1 billion in tickets in 2014. A Buzzfeed investigation found that many people were being jailed for simply being unable to pay a fine or fee. 
UT	In February 2016 a man died while in jail for unpaid debt.
VA	
VT	Vermont Governor Pat Shumlin in January called on the state legislature to eliminate the 74 non-driving related reasons for suspension. About 10 percent of the population in Vermont, 59,000 people have suspended driver’s licenses. 34,000 of those suspensions are because of nonpayment of fines, accounting for 57 percent of suspensions.
WA	In Washington 380,000 drivers have their license suspended, and there is a new law being proposed that would help suspended drivers get their licenses back. In the state 33 percent of misdemeanor criminal cases are related to driving with a suspended or revoked license, licenses which are often suspended for failure to pay. 
WI	In 2012 as Wisconsin was passing the voter ID law which was implemented for the first time in the 2016 presidential primary, experts testified that between 200 and 350 thousand voters in Wisconsin did not have valid voter ID. In 2014 Wisconsin issued 200,000 failure to pay suspensions. Only 65 percent of Milwaukee County residents have a valid driver's license, compared to the average rate of 83 percent in the rest of the state. Suspensions for failure to pay make up more than half of all suspensions, and the two-year suspension issued for failure to pay is more than the length of suspension for a first OWI offense.
WV	In West Virginia in March 2016 police reported that more people are driving with suspended licenses. In West Virginia the first offense for driving with a suspended license is just a fine, but the cost can go up for later offenses and can lead to jail time.
WY	
