State	Population	Notes	Reasons	landlocked	
LA	"4,533,372"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Eastern Brown Pelican	coast	
ME	"1,328,361"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Chickadee	coast	
MD	"5,773,552"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Baltimore Oriole	coast	
MA	"6,547,629"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Chickadee	coast	
MI	"9,883,640"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	American Robin	landlocked	
MN	"5,303,925"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Common Loon	landlocked	
MS	"2,967,297"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Mockingbird	coast	
MO	"5,988,927"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Bluebird	landlocked	
MT	"989,415"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Western Meadowlark	landlocked	
NE	"1,826,341"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Western Meadowlark	landlocked	
NV	"2,700,551"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Mountain Bluebird	landlocked	
NH	"1,316,470"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Purple Finch	coast	
NJ	"8,791,894"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Eastern Goldfinch	coast	
NM	"2,059,179"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Roadrunner	landlocked	
NY	"19,378,102"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Bluebird	coast	
NC	"9,535,483"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Cardinal	coast	
ND	"672,591"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Western Meadowlark	landlocked	
OH	"11,536,504"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Cardinal	landlocked	
OK	"3,751,351"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Scissor-tailed Flycatcher	landlocked	
OR	"3,831,074"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Western Meadowlark	coast	
PA	"12,702,379"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Ruffed Grouse	landlocked	
RI	"1,052,567"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Rhode Island Red	coast	
SC	"4,625,364"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Great Carolina Wren	coast	
SD	"814,180"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Ring-necked Pheasant	landlocked	
TN	"6,346,105"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Mockingbird	landlocked	
TX	"25,145,561"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Mockingbird	coast	
UT	"2,763,885"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Common American Gull	landlocked	
VT	"625,741"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Hermit Thrush	landlocked	
VA	"8,001,024"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Cardinal	coast	
WA	"6,724,540"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Willow Goldfinch	coast	61
WV	"1,852,994"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Cardinal	landlocked	
WI	"5,686,986"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Robin	landlocked	
WY	"563,626"	as;lkfja ;sljdf;asjdf;aksjd;flkasjdf;la	Western Meadowlark	landlocked	
